cebolla xonaca
tejamanileros tlaxamanil
ojo ixtelolo
pluma quetzal
muy huel
mamá nantzin
hoy axcan
diente tlan
madrina teoticanantzin
color tlapal
guajolote totol
relleno tlatemitilli
criado tequipano
muchacho ichpoc
tristeza tlaocol
varón oquich
calabaza ayo
nos tech
bailar mito
castigarlo cohcol
aliento ihiyo
empuje topehua
verdad nel
cielo ilhui
nombre toca
aparecer neci
codorniz zol
vuelta malacacho
fiesta ilhui
castellano caxtilan
pájaro tototl
embriagar ihuinti
milpa mil
derrama tzetzeloa
perseguir totoca
ocelote ocelo
primeramente achtopa
broma camanal
variar nepapan
llover ahui
perder polo
enfermedad coco
pasta textli
recipiente comitl
pelear cualan
náhuatl nahuatlahtol
poquito tepi
tren calmimilo
humedad cuechahua
perecer polihui
serpiente coatl
calentar totonia
antes achto
pescado michi
viejo huehue
fogón tlecuil
extraordinario mahuiztic
relatar pohua
distraer ixpetani
regresar mocuep
escribir hcuilo
hora man
tejocotes xoco
inclinar mopechteccac
prisa ciuhca
avergonzar pinauhtiz
leña cuahuitl
cerrar tzacua
platicar nonotza
carbón tecol
barro zoqui
lloro choc
carta ama
gota chipi
tocar tzotzona
embriaguez tlahuana
quemar tlatia
jilguero jilguero
sacar quixti
gratificar tlauhtia
fumar chichina
contento pahpaqui
tambor teponaz
tepache necuh
delgado pitzahua
cascabel yol
culhuacan culhuacan
suspiro elcicihui
fuerte chicahua
microbio yoyolcameh
ingle inglestlahto
sangre ez
divino teo
cabeza tzon
esquina nacaz
roca texcal
fresco celi
trabajo tequi
faldellín huipil
jugar mahui
respuesta tlananquili
lágrima choqui
garza azta
1000 tzon
perdóneme xinechmotlapohpolhuili
malacachtepec malacachtepec
abrigar quimiloa
gracia tazohcamati
vendar tlanamaca
cuanto quexquich
cazuela caxi
acá oncan
vivo nemi
agradecer tazohcamati
músico tlatzotzonque
sexto chicuacen
hijo pil
demorar moilochti
pueblo altepe
llamar notza
brevemente ciuhca
amado tlazohtla
pregunta htlani
vendo tlanamaca
hablar tlahtohua
fuerza chicauh
fortalecer chicahuaz
planta planta
leer pohua
llamarlo notza
cruel pitz
vendais tlanamaca
pensar nicnemili
mismo yehua
diariamente moztla
dejar cauh
tío noteahu
jefe pochteca
bañar tealti
padre tata
custodiar pix
varios miac
hueso omitz
sacerdote teopix
ciertamente nel
ameis tlazohtla
gemir choca
señor tlaca
extender patahuaz
rogar tlauhti
garganta motozcatlan
dichoso pahpaqui
teporingos teporingo
verme itac
jitomates toma
abeto acxoya
arrastrar huilana
conjunto tzmolin
cuidar cuitlahui
cuidado cuitlahui
junto nahuac
entender nlcaci
chapultepec chapoltepec
donde can
nada amo
meter calaqui
pertenecer pohui
jardín xochi
verlo taz
ayuda palehui
durazno tolachno
cantor cuic
servir serviroz
semilla xinach
ave quechol
cola icuitlapil
gorra tzotzocol
jícara xical
persona tlaca
escuela tlamachtil
grueso toma
aceite chiyahuizotl
hermano icnin
costa anahuaca
virgen ichpoc
liebre naca
necesario nequi
golpear huitequi
calma yocox
seguida niman
españa caxtillan
cortar tequi
hasta ixquich
gran hueyi
artículo tlaman
obscurecerse yohua
vivais nemi
pajarito tototl
medicina pah
vino ohuala
encontrar namiqui
colgar pilca
enriquecer cuiltono
ayunar zauh
país tlalnan
lávese cualtiz
lago tezca
flauta pitza
humo po
caballero pipil
cautivo mal
tazón tecoma
exhortación nonotza
cesto chiquihui
arena xal
sangrar ommihzo
adivinar xicadivinaro
despedir nahuati
carga mama
dulce tzopel
grito tzatzi
acostar teca
cargar mama
canoa acalli
zapato cah
agujero coyoc
espantar mauh
anhelo elehuia
trasladar micuani
mueble icpal
escoger pepena
papá tata
tienda namacoyan
invocar tenehui
darme maquili
danzar ihtoti
macho oquich
peñascal texcal
desaparecer polihui
chalcas chalca
caliente toton
imagen ixiptla
tañer tzotzona
interesar cualita
retornar cuepcayo
error tlapolo
orina cuitl
patria tlalnan
ordenar nahuati
amistad icniuh
entraña xillan
culhuacán colhuaca
saludo tlahpal
tamboril tzotzona
parar quetza
preocuparse netequipacholo
